city,confirm,dead,deadRate,heal,healRate,province,showHeal,showRate,suspect,update_time
汉中,26,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
咸阳,17,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
渭南,15,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
宝鸡,13,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
延安,8,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
铜川,8,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
商洛,7,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
榆林,3,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
韩城,1,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
杨凌,1,0,0.00,0,0.00,陕西,False,False,0,2020-02-28 17:41:58
地区待确认,0,0,0.00,197,0.00,陕西,False,False,0,2020-02-28 17:41:58
昆明,53,0,0.00,48,90.57,云南,True,False,0,2020-02-28 17:41:58
昭通市,25,0,0.00,20,80.00,云南,True,False,0,2020-02-28 17:41:58
西双版纳州,15,1,6.67,14,93.33,云南,True,False,0,2020-02-28 17:41:58
玉溪,14,1,7.14,12,85.71,云南,True,False,0,2020-02-28 17:41:58
曲靖,13,0,0.00,12,92.31,云南,True,False,0,2020-02-28 17:41:58
大理,13,0,0.00,12,92.31,云南,True,False,0,2020-02-28 17:41:58
保山市,9,0,0.00,8,88.89,云南,True,False,0,2020-02-28 17:41:58
红河,9,0,0.00,8,88.89,云南,True,False,0,2020-02-28 17:41:58
丽江市,7,0,0.00,7,100.00,云南,True,False,0,2020-02-28 17:41:58
德宏州,5,0,0.00,4,80.00,云南,True,False,0,2020-02-28 17:41:58
普洱,4,0,0.00,4,100.00,云南,True,False,0,2020-02-28 17:41:58
楚雄州,4,0,0.00,4,100.00,云南,True,False,0,2020-02-28 17:41:58
文山州,2,0,0.00,2,100.00,云南,True,False,0,2020-02-28 17:41:58
临沧,1,0,0.00,1,100.00,云南,True,False,0,2020-02-28 17:41:58
三亚,54,1,1.85,43,79.63,海南,True,False,0,2020-02-28 17:41:58
海口,39,0,0.00,31,79.49,海南,True,False,0,2020-02-28 17:41:58
儋州,15,1,6.67,12,80.00,海南,True,False,0,2020-02-28 17:41:58
万宁,13,0,0.00,12,92.31,海南,True,False,0,2020-02-28 17:41:58
