city,confirm,dead,deadRate,heal,healRate,province,showHeal,showRate,suspect,update_time
濮阳,17,0,0.00,1,5.88,河南,False,False,0,2020-02-28 17:41:58
三门峡,7,1,14.29,3,42.86,河南,False,False,0,2020-02-28 17:41:58
济源示范区,5,0,0.00,0,0.00,河南,False,False,0,2020-02-28 17:41:58
地区待确认,0,2,0.00,913,0.00,河南,False,False,0,2020-02-28 17:41:58
温州,504,1,0.20,384,76.19,浙江,True,False,0,2020-02-28 17:41:58
杭州,169,0,0.00,151,89.35,浙江,True,False,0,2020-02-28 17:41:58
宁波,157,0,0.00,138,87.90,浙江,True,False,0,2020-02-28 17:41:58
台州,146,0,0.00,103,70.55,浙江,True,False,0,2020-02-28 17:41:58
金华,55,0,0.00,50,90.91,浙江,True,False,0,2020-02-28 17:41:58
嘉兴,45,0,0.00,32,71.11,浙江,True,False,0,2020-02-28 17:41:58
绍兴,42,0,0.00,36,85.71,浙江,True,False,0,2020-02-28 17:41:58
省十里丰监狱,36,0,0.00,5,13.89,浙江,True,False,0,2020-02-28 17:41:58
丽水,17,0,0.00,17,100.00,浙江,True,False,0,2020-02-28 17:41:58
衢州,14,0,0.00,11,78.57,浙江,True,False,0,2020-02-28 17:41:58
湖州,10,0,0.00,9,90.00,浙江,True,False,0,2020-02-28 17:41:58
舟山,10,0,0.00,7,70.00,浙江,True,False,0,2020-02-28 17:41:58
长沙,242,2,0.83,172,71.07,湖南,True,False,0,2020-02-28 17:41:58
岳阳,156,1,0.64,113,72.44,湖南,True,False,0,2020-02-28 17:41:58
邵阳,102,1,0.98,92,90.20,湖南,True,False,0,2020-02-28 17:41:58
常德,82,0,0.00,69,84.15,湖南,True,False,0,2020-02-28 17:41:58
株洲,80,0,0.00,56,70.00,湖南,True,False,0,2020-02-28 17:41:58
娄底,76,0,0.00,60,78.95,湖南,True,False,0,2020-02-28 17:41:58
益阳,59,0,0.00,58,98.31,湖南,True,False,0,2020-02-28 17:41:58
衡阳,48,0,0.00,38,79.17,湖南,True,False,0,2020-02-28 17:41:58
永州,44,0,0.00,42,95.45,湖南,True,False,0,2020-02-28 17:41:58
怀化,40,0,0.00,40,100.00,湖南,True,False,0,2020-02-28 17:41:58
郴州,39,0,0.00,34,87.18,湖南,True,False,0,2020-02-28 17:41:58
湘潭,36,0,0.00,33,91.67,湖南,True,False,0,2020-02-28 17:41:58
湘西自治州,8,0,0.00,8,100.00,湖南,True,False,0,2020-02-28 17:41:58
张家界,5,0,0.00,5,100.00,湖南,True,False,0,2020-02-28 17:41:58
合肥,174,1,0.57,140,80.46,安徽,True,False,0,2020-02-28 17:41:58
蚌埠,160,5,3.12,141,88.12,安徽,True,False,0,2020-02-28 17:41:58
阜阳,155,0,0.00,128,82.58,安徽,True,False,0,2020-02-28 17:41:58
亳州,108,0,0.00,100,92.59,安徽,True,False,0,2020-02-28 17:41:58
安庆,83,0,0.00,80,96.39,安徽,True,False,0,2020-02-28 17:41:58
六安,69,0,0.00,55,79.71,安徽,True,False,0,2020-02-28 17:41:58
宿州,41,0,0.00,34,82.93,安徽,True,False,0,2020-02-28 17:41:58
马鞍山,38,0,0.00,30,78.95,安徽,True,False,0,2020-02-28 17:41:58
芜湖,34,0,0.00,30,88.24,安徽,True,False,0,2020-02-28 17:41:58
铜陵,29,0,0.00,28,96.55,安徽,True,False,0,2020-02-28 17:41:58
淮南,27,0,0.00,21,77.78,安徽,True,False,0,2020-02-28 17:41:58
淮北,27,0,0.00,22,81.48,安徽,True,False,0,2020-02-28 17:41:58
池州,17,0,0.00,13,76.47,安徽,True,False,0,2020-02-28 17:41:58
滁州,13,0,0.00,10,76.92,安徽,True,False,0,2020-02-28 17:41:58
黄山,9,0,0.00,6,66.67,安徽,True,False,0,2020-02-28 17:41:58
宣城,6,0,0.00,4,66.67,安徽,True,False,0,2020-02-28 17:41:58
南昌,230,0,0.00,198,86.09,江西,True,False,0,2020-02-28 17:41:58
新余,130,0,0.00,118,90.77,江西,True,False,0,2020-02-28 17:41:58
上饶,123,0,0.00,109,88.62,江西,True,False,0,2020-02-28 17:41:58
九江,118,0,0.00,91,77.12,江西,True,False,0,2020-02-28 17:41:58
宜春,106,0,0.00,96,90.57,江西,True,False,0,2020-02-28 17:41:58
赣州,76,1,1.32,63,82.89,江西,True,False,0,2020-02-28 17:41:58
抚州,72,0,0.00,61,84.72,江西,True,False,0,2020-02-28 17:41:58
萍乡,33,0,0.00,23,69.70,江西,True,False,0,2020-02-28 17:41:58
吉安,22,0,0.00,15,68.18,江西,True,False,0,2020-02-28 17:41:58
鹰潭,18,0,0.00,12,66.67,江西,True,False,0,2020-02-28 17:41:58
景德镇,6,0,0.00,3,50.00,江西,True,False,0,2020-02-28 17:41:58
赣江新区,1,0,0.00,1,100.00,江西,True,False,0,2020-02-28 17:41:58
济宁,258,0,0.00,45,17.44,山东,True,False,0,2020-02-28 17:41:58
青岛,60,1,1.67,45,75.00,山东,True,False,0,2020-02-28 17:41:58
临沂,49,0,0.00,45,91.84,山东,True,False,0,2020-02-28 17:41:58
烟台,47,0,0.00,30,63.83,山东,True,False,0,2020-02-28 17:41:58
济南,47,0,0.00,25,53.19,山东,True,False,0,2020-02-28 17:41:58
潍坊,44,0,0.00,27,61.36,山东,True,False,0,2020-02-28 17:41:58
威海,38,0,0.00,28,73.68,山东,True,False,0,2020-02-28 17:41:58
聊城,38,0,0.00,33,86.84,山东,True,False,0,2020-02-28 17:41:58
德州,37,2,5.41,16,43.24,山东,True,False,0,2020-02-28 17:41:58
泰安,35,2,5.71,26,74.29,山东,True,False,0,2020-02-28 17:41:58
